club1,club2,dd,result,spectators,remark
grn,nac,20240809,4-1,21306,
fyn,wl2,20240810,1-1,47500,
nec,twn,20240810,1-2,12540,
omn,az1,20240810,0-1,4222,
psv,rkc,20240810,5-1,34600,
spr,hrc,20240811,0-0,9722,
utr,pzw,20240811,1-0,0,
gae,fst,20240811,0-2,9357,
ajx,hrv,20240811,1-0,54346,
fst,omn,20240816,3-0,9249,
hrv,utr,20240817,1-1,24000,
twn,spr,20240817,1-1,29200,
az1,nec,20240817,1-0,17683,
rkc,grn,20240817,1-2,6492,
hrc,psv,20240818,1-3,11354,
pzw,fyn,20240818,1-5,13653,
wl2,gae,20240818,2-0,13000,
nac,ajx,20240818,2-1,19000,
nec,pzw,20240824,1-0,12540,
omn,psv,20240824,1-7,4222,
nac,utr,20240824,1-2,19000,
grn,az1,20240825,0-0,21981,
spr,fyn,20240825,1-1,10599,
hrc,wl2,20240825,1-1,11286,
gae,rkc,20240825,2-0,9813,
rkc,az1,20240830,0-3,7066,
omn,grn,20240831,1-1,4222,
fst,nec,20240831,0-3,10564,
hrv,nac,20240831,4-0,20809,
wl2,spr,20240831,1-2,10600,
utr,twn,20240901,2-1,19463,
pzw,hrc,20240901,3-0,13731,
psv,gae,20240901,3-0,34100,
psv,nec,20240914,2-0,34100,
twn,pzw,20240914,1-1,29500,
grn,fyn,20240914,2-2,22525,
nac,fst,20240914,1-0,18437,
az1,hrv,20240914,9-1,16608,
spr,gae,20240915,1-2,9931,
wl2,rkc,20240915,3-0,13000,
hrc,omn,20240915,0-0,11744,
twn,hrv,20240917,2-0,29500,
ajx,fst,20240918,5-0,53786,
pzw,az1,20240920,1-2,13801,
utr,wl2,20240921,3-2,20861,
rkc,spr,20240921,1-2,7179,
gae,ajx,20240921,1-1,9997,
nec,hrc,20240921,1-2,12540,
hrv,grn,20240922,2-1,23729,
fyn,nac,20240922,2-0,47500,
omn,twn,20240922,0-5,4222,
fst,psv,20240922,1-3,11386,
hrc,hrv,20240927,2-1,11243,
wl2,psv,20240928,0-2,13256,
nec,fyn,20240928,1-1,12540,
spr,fst,20240928,1-1,9420,
pzw,omn,20240929,1-0,13492,
twn,nac,20240929,1-0,29750,
grn,gae,20240929,0-1,22040,
rkc,ajx,20240929,0-2,7254,
az1,utr,20240929,1-2,17533,
omn,wl2,20241004,0-1,3368,
nac,nec,20241005,1-0,18523,
psv,spr,20241005,2-1,34000,
utr,rkc,20241005,3-2,23750,
gae,hrc,20241006,4-1,9997,
fyn,twn,20241006,2-1,47500,
hrv,pzw,20241006,1-1,24141,
ajx,grn,20241006,3-1,53984,
fst,az1,20241006,1-0,9568,
spr,omn,20241019,2-2,9743,
az1,psv,20241019,1-2,18804,
rkc,twn,20241019,2-2,6674,
