club1,club2,dd,result,spectators
hrv,wl2,20200912,2-0,4000
pzw,fyn,20200912,0-2,2993
twn,fst,20200912,2-0,8000
emm,vvv,20200913,3-5,2400
spr,ajx,20200913,0-1,3934
hrc,adh,20200913,2-0,2700
grn,psv,20200913,1-3,6049
rkc,vit,20200913,0-1,1967
vvv,utr,20200918,1-1,1435
az1,pzw,20200919,1-1,3500
vit,spr,20200919,2-0,4914
psv,emm,20200919,2-1,8000
fst,hrv,20200919,1-3,2825
adh,grn,20200920,0-1,3378
fyn,twn,20200920,1-1,13000
wl2,hrc,20200920,4-0,3908
ajx,rkc,20200920,3-0,11948
twn,grn,20200925,3-1,8000
pzw,spr,20200926,4-0,2933
fst,az1,20200926,3-3,3000
hrv,vvv,20200926,1-0,6500
ajx,vit,20200926,2-1,12176
fyn,adh,20200927,4-2,13000
utr,rkc,20200927,3-1,4944
hrc,psv,20200927,1-1,3083
emm,wl2,20200927,1-1,2312
utr,hrv,20201002,1-1,0
vit,hrc,20201003,3-0,0
vvv,adh,20201003,1-2,0
twn,emm,20201003,1-1,0
grn,ajx,20201004,1-0,0
wl2,fyn,20201004,1-4,0
spr,az1,20201004,4-4,0
psv,fst,20201004,2-0,0
hrc,rkc,20201017,0-1,0
az1,vvv,20201017,2-2,0
wl2,twn,20201017,0-3,0
fyn,spr,20201018,1-1,0
ajx,hrv,20201018,5-1,0
adh,vit,20201018,0-2,0
pzw,psv,20201018,0-3,0
grn,utr,20201018,0-0,0
emm,fst,20201018,2-2,0
rkc,pzw,20201021,1-1,0
vvv,ajx,20201024,0-13,0
utr,twn,20201024,2-1,0
pzw,wl2,20201024,0-0,0
hrv,emm,20201024,4-0,0
fst,grn,20201025,1-3,0
vit,psv,20201025,2-1,0
spr,hrc,20201025,1-1,0
rkc,fyn,20201025,2-2,0
adh,az1,20201025,2-2,0
utr,az1,20201227,-,-1
