year,key,value
1996,title,Eindstand poule
1997,title,Eindstand poule
1999,title,Eindstand poule
2000,title,Eindstand poule
2000,opm_nc,* FC Groningen is na 4 van de 6 wedstrijden al zeker van promotie. <br>
2000,opm_nc,* RBC Roosendaal komt volgend seizoen voor het eerst in de Eredivisie uit.
2001,title,Eindstand poule
2002,title,Poule
2003,title,Eindstand poule
2005,title,Eindstand poule
2006,title,Promotie/degradatie eerste/eredivisie (best of 3)
2006,rounds,finale
2007,title,Promotie/degradatie eerste/eredivisie (best of 3)
2007,rounds,finale
2008,title,Promotie/degradatie eerste/eredivisie (best of 3)
2008,rounds,3
2009,title,Promotie/degradatie eerste/eredivisie (best of 3)
2009,rounds,2;3
2010,title,Promotie/degradatie eerste/eredivisie
2010,rounds,3
2010,opm_nc,Kampioen en rechtstreekse promotie: De Graafschap.<br>
2010,opm_nc,Excelsior promoveert na winst in de nacompetitie op stadgenoot Sparta.<br>
2010,opm_nc,Haarlem wegens faillisement uit de competitie genomen.<br>
2010,opm_nc,TOP Oss degradeert naar (nieuwe) Topklasse<br>
