league,round,team1,team2,dd,result,star,remark,stadium
supercup,,G1mnu,ESsvl,20230816,1-1,5,,Piraeus
CL,v3,NLpsv,ATstg,20230808,4-1,,,
CL,v3,ATstg,NLpsv,20230815,1-3,1,,
CL,po,G2glr,NLpsv,20230822,2-2,,,
CL,po,NLpsv,G2glr,20230830,5-1,2,,
CL,gB,G1ars,NLpsv,20230920,4-0,,,
CL,gB,ESsvl,FRrcl,20230920,1-1,,,
CL,gB,NLpsv,ESsvl,20231003,2-2,,,
CL,gB,FRrcl,G1ars,20231003,2-1,,,
CL,gE,NLfyn,G2clt,20230919,2-0,,,
CL,gE,ITlzr,ESamd,20230919,1-1,,,
CL,gE,ESamd,NLfyn,20231004,3-2,,,
CL,gE,G2clt,ITlzr,20231004,1-2,,,
EL,po,BGldg,NLajx,20230824,1-4,,,
EL,po,NLajx,BGldg,20230831,0-1,2,,
EL,gB,NLajx,FRomr,20230921,3-3,,,
EL,gB,G1brh,GRaek,20230921,2-3,,,
EL,gB,FRomr,G1brh,20231005,2-2,,,
EL,gB,GRaek,NLajx,20231005,1-1,,,
CF,v2,NLtwn,SEhmm,20230727,1-0,,,
CF,v2,SEhmm,NLtwn,20230803,1-1,3,,
CF,v3,NLtwn,LVrig,20230810,2-0,,,
CF,v3,LVrig,NLtwn,20230817,0-3,1,,
CF,v3,ADscl,NLaz1,20230810,0-1,,,
CF,v3,NLaz1,ADscl,20230817,2-0,2,,
CF,po,TRfen,NLtwn,20230824,5-1,,,
CF,po,NLaz1,NObbr,20230824,1-1,,,
CF,po,NLtwn,TRfen,20230831,0-1,1,,
CF,po,NObbr,NLaz1,20230831,3-3,5,,
CF,gE,BAzrn,NLaz1,20230921,4-3,,rust: 0-3,
CF,gE,PLlgw,G1avl,20230921,3-2,,,
CF,gE,NLaz1,PLlgw,20231005,1-0,,,
CF,gE,G1avl,BAzrn,20231005,1-0,,,
